Running benchmark 638 with O3
Check determinism flag for 638/wand/magick-property.bc
Change in queries per pass for 638/wand/magick-property.bc
Pass 42GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 43GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 44GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 45GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 46GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 47GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 48GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 49GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 50GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 51GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 52GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 53GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 54GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 55GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 56GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 57GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 58GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 59GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 60GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 61GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 62GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 63GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 65GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 66GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 67GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 68GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 69GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Check determinism flag for 638/wand/magick-image.bc
Change in hash for 638/wand/magick-image.bc
Hash: 4e4803844ea2d727bfc009f9db3b874f81c3bd63 vs 4d40daac4efaf85d792820aae4df1aa5f8aed77e
Change in queries per pass for 638/wand/magick-image.bc
Pass 0GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 1GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 2GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 3GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 4GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 5GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 6GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 7GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 8GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 9GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 10GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 11GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 13GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 14GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 15GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 16GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 17GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 18GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 19GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 20GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 21GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 22GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 23GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 24GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 25GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 26GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 27GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 28GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 29GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 30GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 31GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 32GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 33GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 34GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 35GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 36GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 37GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 38GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 39GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 40GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 41GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 42GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 43GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 44GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 45GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 46GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 47GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 48GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 49GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 50GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 51GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 52GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 53GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 54GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 55GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 56GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 57GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 58GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 59GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 61GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 62GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 63GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 64GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 65GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 66GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 67GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 68GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 69GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 70GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 71GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 72GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 73GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 74GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 75GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 76GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 77GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 78GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 79GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 80GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 81GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 82GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 83GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 84GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 85GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 86GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 87GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 88GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 89GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 90GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 91GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 92GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 93GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 94GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 95GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 96GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 97GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 98GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 99GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 100GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 101GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 102GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 103GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 104GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 105GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 106GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 107GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 108GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 109GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 110GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 111GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 112GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 113GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 114GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 115GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 116GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 117GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 118GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 119GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 120GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 121GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 122GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 123GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 124GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 125GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 126GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 127GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 128GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 129GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 130GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 131GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 132GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 133GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 134GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 135GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 136GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 137GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 138GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 139GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 140GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 141GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 142GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 143GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 144GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 145GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 146GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 147GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 148GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 149GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 150GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 151GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 152GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 153GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 154GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 155GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 156GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 157GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 158GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 159GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 160GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 161GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 162GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 163GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 164GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 165GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 166GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 167GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 168GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 169GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 170GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 171GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 172GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 173GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 174GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 175GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 176GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 177GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 178GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 179GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 181GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 182GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 183GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 184GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 185GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 186GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 187GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 188GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 189GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 190GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 191GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 192GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 193GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 194GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 195GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 197GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 198GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 199GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 200GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 201GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 202GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 203GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 204GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 205GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 206GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 207GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 208GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 209GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 210GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 211GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 212GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 213GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 214GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 215GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 216GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 217GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 218GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 219GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 220GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 221GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 222GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 223GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 224GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 225GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 226GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 227GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 228GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 229GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 230GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 231GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 232GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 233GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 234GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 235GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 236GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 237GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 238GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 239GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 240GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 241GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 242GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 243GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 244GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 245GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 247GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 248GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 249GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 250GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 251GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 252GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 253GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 254GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 255GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 256GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 257GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 258GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 259GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 260GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 261GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 262GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 263GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 264GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 265GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 266GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 267GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 268GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 269GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 270GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 271GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 272GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 273GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 274GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 275GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 276GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 277GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 278GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 279GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 280GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 281GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 282GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 283GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 284GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 285GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 286GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 287GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 288GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 289GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 290GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 291GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 292GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 293GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 294GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 295GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 296GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 297GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 298GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 299GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 300GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 301GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Pass 302GVNPass in 638/wand/magick-image.bc is non-deterministic (missing pass)
Check determinism flag for 638/wand/wand.bc
Change in hash for 638/wand/wand.bc
Hash: ed006ab7039a036bd57db00c4eba3a376abe7e15 vs c03edc86e3eba5940a7784b31c7a10c7d0ec97d7
Change in queries per pass for 638/wand/wand.bc
Pass 0GVNPass in 638/wand/wand.bc is non-deterministic (missing pass)
Check determinism flag for 638/wand/pixel-iterator.bc
Change in hash for 638/wand/pixel-iterator.bc
